cod;denumire;denumire_scurta
02071460;"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105 — De cocoși și de găini din specia Gallus domesticus — Bucăți și organe, congelate — Bucăți — Nedezosate — Pulpe și bucăți de pulpe";"Pulpe și bucăți de pulpe"
02071470;"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105 — De cocoși și de găini din specia Gallus domesticus — Bucăți și organe, congelate — Bucăți — Nedezosate — Altele";Altele
02071491;"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105 — De cocoși și de găini din specia Gallus domesticus — Bucăți și organe, congelate — Organe — Ficat";Ficat
02071499;"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105 — De cocoși și de găini din specia Gallus domesticus — Bucăți și organe, congelate — Organe — Altele";Altele
02072410;"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105 — De curcani și de curci — Netranșate în bucăți, proaspete sau refrigerate — Fără pene, eviscerate, fără cap și picioare, cu gât, inimă, ficat și pipotă, denumite „curcani 80 %”";"Fără pene, eviscerate, fără cap și picioare, cu gât, inimă, ficat și pipotă, denumite „curcani 80 %”"
02072490;"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105 — De curcani și de curci — Netranșate în bucăți, proaspete sau refrigerate — Fără pene, eviscerate, fără cap și gât, fără picioare, inimă, ficat și pipotă, denumite „curcani 73 %”, sau altfel prezentate";"Fără pene, eviscerate, fără cap și gât, fără picioare, inimă, ficat și pipotă, denumite „curcani 73 %”, sau altfel prezentate"
02072510;"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105 — De curcani și de curci — Netranșate în bucăți, congelate — Fără pene, eviscerate, fără cap și picioare, cu gât, inimă, ficat și pipotă, denumite „curcani 80 %”";"Fără pene, eviscerate, fără cap și picioare, cu gât, inimă, ficat și pipotă, denumite „curcani 80 %”"
02072590;"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105 — De curcani și de curci — Netranșate în bucăți, congelate — Fără pene, eviscerate, fără cap și gât, fără picioare, inimă, ficat și pipotă, denumite „curcani 73 %”, sau altfel prezentați";"Fără pene, eviscerate, fără cap și gât, fără picioare, inimă, ficat și pipotă, denumite „curcani 73 %”, sau altfel prezentați"
02072610;"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105 — De curcani și de curci — Bucăți și organe, proaspete sau refrigerate — Bucăți — Dezosate";Dezosate
02072620;"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105 — De curcani și de curci — Bucăți și organe, proaspete sau refrigerate — Bucăți — Nedezosate — Jumătăți sau sferturi";"Jumătăți sau sferturi"
02072630;"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105 — De curcani și de curci — Bucăți și organe, proaspete sau refrigerate — Bucăți — Nedezosate — Aripi întregi, cu sau fără vârfuri";"Aripi întregi, cu sau fără vârfuri"
02072640;"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105 — De curcani și de curci — Bucăți și organe, proaspete sau refrigerate — Bucăți — Nedezosate — Spate, gâturi, spate cu gâturi împreună, târtițe, vârfuri de aripi";"Spate, gâturi, spate cu gâturi împreună, târtițe, vârfuri de aripi"
02072650;"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105 — De curcani și de curci — Bucăți și organe, proaspete sau refrigerate — Bucăți — Nedezosate — Piept și bucăți de piept";"Piept și bucăți de piept"
02072660;"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105 — De curcani și de curci — Bucăți și organe, proaspete sau refrigerate — Bucăți — Nedezosate — Pulpe și bucăți de pulpe — Copane și bucăți de copane";"Copane și bucăți de copane"
02072670;"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105 — De curcani și de curci — Bucăți și organe, proaspete sau refrigerate — Bucăți — Nedezosate — Pulpe și bucăți de pulpe — Altele";Altele
02072680;"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105 — De curcani și de curci — Bucăți și organe, proaspete sau refrigerate — Bucăți — Nedezosate — Altele";Altele
02072691;"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105 — De curcani și de curci — Bucăți și organe, proaspete sau refrigerate — Organe — Ficat";Ficat
02072699;"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105 — De curcani și de curci — Bucăți și organe, proaspete sau refrigerate — Organe — Altele";Altele
02072710;"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105 — De curcani și de curci — Bucăți și organe, congelate — Bucăți — Dezosate";Dezosate
02072720;"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105 — De curcani și de curci — Bucăți și organe, congelate — Bucăți — Nedezosate — Jumătăți sau sferturi";"Jumătăți sau sferturi"
02072730;"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105 — De curcani și de curci — Bucăți și organe, congelate — Bucăți — Nedezosate — Aripi întregi, cu sau fără vârfuri";"Aripi întregi, cu sau fără vârfuri"
02072740;"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105 — De curcani și de curci — Bucăți și organe, congelate — Bucăți — Nedezosate — Spate, gâturi, spate cu gâturi împreună, târtițe, vârfuri de aripi";"Spate, gâturi, spate cu gâturi împreună, târtițe, vârfuri de aripi"
02072750;"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105 — De curcani și de curci — Bucăți și organe, congelate — Bucăți — Nedezosate — Piept și bucăți de piept";"Piept și bucăți de piept"
02072760;"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105 — De curcani și de curci — Bucăți și organe, congelate — Bucăți — Nedezosate — Pulpe și bucăți de pulpe — Copane și bucăți de copane";"Copane și bucăți de copane"
02072770;"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105 — De curcani și de curci — Bucăți și organe, congelate — Bucăți — Nedezosate — Pulpe și bucăți de pulpe — Altele";Altele
02072780;"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105 — De curcani și de curci — Bucăți și organe, congelate — Bucăți — Nedezosate — Altele";Altele
02072791;"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105 — De curcani și de curci — Bucăți și organe, congelate — Organe — Ficat";Ficat
02072799;"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105 — De curcani și de curci — Bucăți și organe, congelate — Organe — Altele";Altele
02074120;"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105 — De rață — Netranșate în bucăți, proaspete sau refrigerate — Fără pene și sânge, fără intestine, dar neeviscerate, cu cap și picioare, denumite „rațe 85 %”";"Fără pene și sânge, fără intestine, dar neeviscerate, cu cap și picioare, denumite „rațe 85 %”"
02074130;"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105 — De rață — Netranșate în bucăți, proaspete sau refrigerate — Fără pene, eviscerate, fără cap și picioare, cu gât, inimă, ficat și pipotă, denumite „rațe 70 %”";"Fără pene, eviscerate, fără cap și picioare, cu gât, inimă, ficat și pipotă, denumite „rațe 70 %”"
02074180;"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105 — De rață — Netranșate în bucăți, proaspete sau refrigerate — Fără pene, eviscerate, fără cap și picioare și fără gât, inimă, ficat și pipotă, denumite „rațe 63 %”, sau altfel prezentate";"Fără pene, eviscerate, fără cap și picioare și fără gât, inimă, ficat și pipotă, denumite „rațe 63 %”, sau altfel prezentate"
02074230;"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105 — De rață — Netranșate în bucăți, congelate — Fără pene, eviscerate, fără cap și picioare, cu gât, inimă, ficat și pipotă, denumite „rațe 70 %”";"Fără pene, eviscerate, fără cap și picioare, cu gât, inimă, ficat și pipotă, denumite „rațe 70 %”"
02074280;"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105 — De rață — Netranșate în bucăți, congelate — Fără pene, eviscerate, fără cap și picioare și fără gât, inimă, ficat și pipotă, denumite „rațe 63 %”, sau altfel prezentate";"Fără pene, eviscerate, fără cap și picioare și fără gât, inimă, ficat și pipotă, denumite „rațe 63 %”, sau altfel prezentate"
02074300;"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105 — De rață — Ficat gras, proaspăt sau refrigerat";"Ficat gras, proaspăt sau refrigerat"
02074410;"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105 — De rață — Altele, proaspete sau refrigerate — Bucăți — Dezosate";Dezosate
02074421;"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105 — De rață — Altele, proaspete sau refrigerate — Bucăți — Nedezosate — Jumătăți sau sferturi";"Jumătăți sau sferturi"
02074431;"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105 — De rață — Altele, proaspete sau refrigerate — Bucăți — Nedezosate — Aripi întregi, cu sau fără vârfuri";"Aripi întregi, cu sau fără vârfuri"
02074441;"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105 — De rață — Altele, proaspete sau refrigerate — Bucăți — Nedezosate — Spate, gâturi, spate cu gâturi împreună, târtițe, vârfuri de aripi";"Spate, gâturi, spate cu gâturi împreună, târtițe, vârfuri de aripi"
